id,title,description,availability,condition,price,link,image_link,additional_image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,shipping,shipping_weight,offer_disclaimer,offer_disclaimer_url,video[0].url,video[0].tag[0],gtin,product_tags[0],product_tags[1],product_tags[2],style[0]
ARB013-33W-GAN,Şarj Başlığı 33W GAN ARB013,33W GAN teknolojili hızlı şarj başlığı.,in stock,new,8.50 USD,https://wa.me/905456387347?text=Merhaba%2C%20%C5%9Earj%20Ba%C5%9Fl%C4%B1%C4%9F%C4%B1%2033W%20GAN%20ARB013%20%28ARB013-33W-GAN%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,,,Generic,Electronics > Electronics Accessories > Power > Power Adapters & Chargers,,,,,,,,,,,,,,,,,,,Şarj Başlığı,GAN,,
ARB014-HASIR,Şarj 25W set hasır kablo ARB014,"25W hızlı şarj adaptörü ve örgülü (hasır) kablo seti. (Kod ekran görüntüsünde kesik görünüyor, kontrol edin)",in stock,new,5.00 USD,https://wa.me/905456387347?text=Merhaba%2C%20%C5%9Earj%2025W%20set%20has%C4%B1r%20kablo%20ARB014%20%28ARB014-HASIR%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,,,Generic,Electronics > Electronics Accessories > Power > Power Adapters & Chargers,,,,,,,,,,,,,,,,,,,Şarj Grubu,,,
ARB015-25W-TP,Şarj 25W USB Type-C ARB015,"25W USB çıkışlı, Type-C kablolu hızlı şarj adaptörü seti.",in stock,new,3.75 USD,https://wa.me/905456387347?text=Merhaba%2C%20%C5%9Earj%2025W%20USB%20Type-C%20ARB015%20%28ARB015-25W-TP%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,https://raw.githubusercontent.com/bulentkeskiner/RuhaTechKatalog/main/urun-fotolari/ARB015-25W-TP.jpeg,,Generic,Electronics > Electronics Accessories > Power > Power Adapters & Chargers,,,,,,,,,,,,,,,,,,,Şarj Grubu,Type-C,,
ARB015-25W-USB,Şarj Başlığı 25W USB ARB015,25W USB çıkışlı hızlı şarj başlığı.,in stock,new,3.00 USD,https://wa.me/905456387347?text=Merhaba%2C%20%C5%9Earj%20Ba%C5%9Fl%C4%B1%C4%9F%C4%B1%2025W%20USB%20ARB015%20%28ARB015-25W-USB%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,,,Generic,Electronics > Electronics Accessories > Power > Power Adapters & Chargers,,,,,,,,,,,,,,,,,,,Şarj Başlığı,USB,,
ARB016-45W-DUAL,Şarj 45W çift çıkış ARB016,45W çift çıkışlı hızlı şarj adaptörü ve kablo seti.,in stock,new,4.50 USD,https://wa.me/905456387347?text=Merhaba%2C%20%C5%9Earj%2045W%20%C3%A7ift%20%C3%A7%C4%B1k%C4%B1%C5%9F%20ARB016%20%28ARB016-45W-DUAL%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,https://raw.githubusercontent.com/bulentkeskiner/RuhaTechKatalog/main/urun-fotolari/ARB016-45W-DUAL.jpeg,https://raw.githubusercontent.com/bulentkeskiner/RuhaTechKatalog/main/urun-fotolari/ARB016-45W-DUAL-alt1.jpeg,Generic,Electronics > Electronics Accessories > Power > Power Adapters & Chargers,,,,,,,,,,,,,,,,,,,Şarj Grubu,Çift Çıkış,,
ARB016-45W-PD,Şarj Başlığı 45W USB PD ARB016,45W USB Power Delivery destekli hızlı şarj başlığı.,in stock,new,4.00 USD,https://wa.me/905456387347?text=Merhaba%2C%20%C5%9Earj%20Ba%C5%9Fl%C4%B1%C4%9F%C4%B1%2045W%20USB%20PD%20ARB016%20%28ARB016-45W-PD%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,,,Generic,Electronics > Electronics Accessories > Power > Power Adapters & Chargers,,,,,,,,,,,,,,,,,,,Şarj Başlığı,PD,,
ARB016-67W,Şarj Başlığı 67W Type-C ARB016,67W Type-C hızlı şarj başlığı (adaptör).,in stock,new,0.00 USD,https://wa.me/905456387347?text=Merhaba%2C%20%C5%9Earj%20Ba%C5%9Fl%C4%B1%C4%9F%C4%B1%2067W%20Type-C%20ARB016%20%28ARB016-67W%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,https://raw.githubusercontent.com/bulentkeskiner/RuhaTechKatalog/main/urun-fotolari/ARB016-67W.jpeg,,Generic,Electronics > Electronics Accessories > Power > Power Adapters & Chargers,,,,,,,,,,,,,,,,,,,Şarj Başlığı,,Yeni,
ARB017,Şarj Başlığı 25W PD ARB017,25W Power Delivery destekli hızlı şarj başlığı.,in stock,new,3.50 USD,https://wa.me/905456387347?text=Merhaba%2C%20%C5%9Earj%20Ba%C5%9Fl%C4%B1%C4%9F%C4%B1%2025W%20PD%20ARB017%20%28ARB017%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,https://raw.githubusercontent.com/bulentkeskiner/RuhaTechKatalog/main/urun-fotolari/ARB017.jpeg,"https://raw.githubusercontent.com/bulentkeskiner/RuhaTechKatalog/main/urun-fotolari/ARB017-alt1.jpeg,https://raw.githubusercontent.com/bulentkeskiner/RuhaTechKatalog/main/urun-fotolari/ARB017-alt2.jpeg",Generic,Electronics > Electronics Accessories > Power > Power Adapters & Chargers,,,,,,,,,,,,,,,,,,,Şarj Başlığı,PD,,
ARB026,Şarj Başlığı 25W PD ARB026,25W Power Delivery destekli hızlı şarj başlığı.,in stock,new,3.50 USD,https://wa.me/905456387347?text=Merhaba%2C%20%C5%9Earj%20Ba%C5%9Fl%C4%B1%C4%9F%C4%B1%2025W%20PD%20ARB026%20%28ARB026%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,,,Generic,Electronics > Electronics Accessories > Power > Power Adapters & Chargers,,,,,,,,,,,,,,,,,,,Şarj Başlığı,PD,,
ARB052,Kablo iOS 3.1A ARB052,3.1A iOS (Lightning) hızlı şarj/data kablosu.,in stock,new,0.00 USD,https://wa.me/905456387347?text=Merhaba%2C%20Kablo%20iOS%203.1A%20ARB052%20%28ARB052%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,https://raw.githubusercontent.com/bulentkeskiner/RuhaTechKatalog/main/urun-fotolari/ARB052.jpeg,,Generic,Electronics > Electronics Accessories > Cables > Cell Phone Cables,,,,,,,,,,,,,,,,,,,Kablo Grubu,iOS,Yeni,
ARB056,Kablo Type-C 3.1A ARB056,3.1A Type-C hızlı şarj/data kablosu.,in stock,new,0.00 USD,https://wa.me/905456387347?text=Merhaba%2C%20Kablo%20Type-C%203.1A%20ARB056%20%28ARB056%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,https://raw.githubusercontent.com/bulentkeskiner/RuhaTechKatalog/main/urun-fotolari/ARB056.jpeg,,Generic,Electronics > Electronics Accessories > Cables > Cell Phone Cables,,,,,,,,,,,,,,,,,,,Kablo Grubu,Type-C,Yeni,
ARB076,Kablo iOS 27W ARB076,27W Type-C to Lightning hızlı şarj kablosu.,in stock,new,0.00 USD,https://wa.me/905456387347?text=Merhaba%2C%20Kablo%20iOS%2027W%20ARB076%20%28ARB076%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,https://raw.githubusercontent.com/bulentkeskiner/RuhaTechKatalog/main/urun-fotolari/ARB076.jpeg,,Generic,Electronics > Electronics Accessories > Cables > Cell Phone Cables,,,,,,,,,,,,,,,,,,,Kablo Grubu,iOS,Yeni,
ARB100,Kablo micro 5A ARB100,5A micro USB hızlı şarj kablosu.,in stock,new,0.40 USD,https://wa.me/905456387347?text=Merhaba%2C%20Kablo%20micro%205A%20ARB100%20%28ARB100%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,https://raw.githubusercontent.com/bulentkeskiner/RuhaTechKatalog/main/urun-fotolari/ARB100.jpeg,,Generic,Electronics > Electronics Accessories > Cables > Cell Phone Cables,,,,,,,,,,,,,,,,,,,Kablo Grubu,Micro USB,,
ARB121,Kablo 4in1 65W ARB121,65W 4in1 çoklu hızlı şarj kablosu.,in stock,new,2.50 USD,https://wa.me/905456387347?text=Merhaba%2C%20Kablo%204in1%2065W%20ARB121%20%28ARB121%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,https://raw.githubusercontent.com/bulentkeskiner/RuhaTechKatalog/main/urun-fotolari/ARB121.jpeg,https://raw.githubusercontent.com/bulentkeskiner/RuhaTechKatalog/main/urun-fotolari/ARB121-alt1.jpeg,Generic,Electronics > Electronics Accessories > Cables > Cell Phone Cables,,,,,,,,,,,,,,,,,,,Kablo Grubu,4in1,,
ARB122,Kablo PD PD 60W ARB122,60W Type-C to Type-C hızlı şarj kablosu.,in stock,new,2.50 USD,https://wa.me/905456387347?text=Merhaba%2C%20Kablo%20PD%20PD%2060W%20ARB122%20%28ARB122%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,https://raw.githubusercontent.com/bulentkeskiner/RuhaTechKatalog/main/urun-fotolari/ARB122.jpeg,,Generic,Electronics > Electronics Accessories > Cables > Cell Phone Cables,,,,,,,,,,,,,,,,,,,Kablo Grubu,Type-C,,
ARB123,Kablo PD iOS 30W ARB123,30W Type-C to Lightning hızlı şarj kablosu.,in stock,new,2.50 USD,https://wa.me/905456387347?text=Merhaba%2C%20Kablo%20PD%20iOS%2030W%20ARB123%20%28ARB123%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,https://raw.githubusercontent.com/bulentkeskiner/RuhaTechKatalog/main/urun-fotolari/ARB123.jpeg,,Generic,Electronics > Electronics Accessories > Cables > Cell Phone Cables,,,,,,,,,,,,,,,,,,,Kablo Grubu,iOS,,
ARB125,Kablo 3in1 ARB125,3in1 (iOS/Type-C/Micro) çoklu hızlı şarj kablosu.,in stock,new,1.50 USD,https://wa.me/905456387347?text=Merhaba%2C%20Kablo%203in1%20ARB125%20%28ARB125%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,https://raw.githubusercontent.com/bulentkeskiner/RuhaTechKatalog/main/urun-fotolari/ARB125.jpeg,https://raw.githubusercontent.com/bulentkeskiner/RuhaTechKatalog/main/urun-fotolari/ARB125-alt1.jpeg,Generic,Electronics > Electronics Accessories > Cables > Cell Phone Cables,,,,,,,,,,,,,,,,,,,Kablo Grubu,3in1,,
ARB129,Kablo 4in1 240W ARB129,"240W güç aktarımı destekleyen, USB-A/Type-C girişli 4'ü 1 arada hızlı şarj kablosu.",in stock,new,0.00 USD,https://wa.me/905456387347?text=Merhaba%2C%20Kablo%204in1%20240W%20ARB129%20%28ARB129%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,https://raw.githubusercontent.com/bulentkeskiner/RuhaTechKatalog/main/urun-fotolari/ARB129.jpeg,,Generic,Electronics > Electronics Accessories > Cables > Cell Phone Cables,,,,,,,,,,,,,,,,,,,Kablo Grubu,4in1,Yeni,
ARB130,Kablo PD PD 240W ARB130,240W ultra hızlı Type-C to Type-C şarj kablosu.,in stock,new,0.00 USD,https://wa.me/905456387347?text=Merhaba%2C%20Kablo%20PD%20PD%20240W%20ARB130%20%28ARB130%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,https://raw.githubusercontent.com/bulentkeskiner/RuhaTechKatalog/main/urun-fotolari/ARB130.jpeg,,Generic,Electronics > Electronics Accessories > Cables > Cell Phone Cables,,,,,,,,,,,,,,,,,,,Kablo Grubu,Type-C,Yeni,
ARB132,Kablo Spiral 4in1 65W ARB132,"65W spiral tasarımlı, USB-A/Type-C girişli, Type-C&Lightning çıkışlı 4in1 hızlı şarj kablosu.",in stock,new,0.00 USD,https://wa.me/905456387347?text=Merhaba%2C%20Kablo%20Spiral%204in1%2065W%20ARB132%20%28ARB132%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,https://raw.githubusercontent.com/bulentkeskiner/RuhaTechKatalog/main/urun-fotolari/ARB132.jpeg,,Generic,Electronics > Electronics Accessories > Cables > Cell Phone Cables,,,,,,,,,,,,,,,,,,,Kablo Grubu,4in1,Yeni,
ARB133,Bileklik Şarj Kablosu 2in1 ARB133,Bilekliğe takılabilen taşınabilir 2'si 1 arada şarj kablosu.,in stock,new,0.00 USD,https://wa.me/905456387347?text=Merhaba%2C%20Bileklik%20%C5%9Earj%20Kablosu%202in1%20ARB133%20%28ARB133%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,https://raw.githubusercontent.com/bulentkeskiner/RuhaTechKatalog/main/urun-fotolari/ARB133.jpeg,,Generic,Electronics > Electronics Accessories > Cables > Cell Phone Cables,,,,,,,,,,,,,,,,,,,Kablo Grubu,2in1,Yeni,
ARB1XX-RGB,Kablo Type-C 5A RGB ARB,"5A Type-C RGB ışıklı hızlı şarj kablosu. (Kod ekran görüntüsünde kesik görünüyor, kontrol edin)",in stock,new,2.50 USD,https://wa.me/905456387347?text=Merhaba%2C%20Kablo%20Type-C%205A%20RGB%20ARB%20%28ARB1XX-RGB%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,,,Generic,Electronics > Electronics Accessories > Cables > Cell Phone Cables,,,,,,,,,,,,,,,,,,,Kablo Grubu,Type-C,,
ARB200,Kulaklık iOS ARB200,Lightning bağlantılı kablolu kulaklık.,in stock,new,2.50 USD,https://wa.me/905456387347?text=Merhaba%2C%20Kulakl%C4%B1k%20iOS%20ARB200%20%28ARB200%29%20%C3%BCr%C3%BCn%C3%BC%20hakk%C4%B1nda%20bilgi%20almak%20istiyorum.,https://raw.githubusercontent.com/bulentkeskiner/RuhaTechKatalog/main/urun-fotolari/ARB200.jpeg,,Generic,Electronics > Electronics Accessories > Audio > Headphones,,,,,,,,,,,,,,,,,,,Kulaklık Grubu,iOS,,
